# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(36:22:7:2)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(36:22:7:3)	hi	PRON	SUFFIX|PRON:3MS
(36:22:8:1)	turojaEu	V	STEM|POS:V|IMPF|PASS|LEM:rajaEa|ROOT:rjE|2MP
(36:22:8:2)	wna	PRON	SUFFIX|PRON:2MP
(36:23:1:1)	'a	INTG	PREFIX|A:INTG+
(36:23:1:2)	>at~axi*u	V	STEM|POS:V|IMPF|(VIII)|LEM:{t~axa*a|ROOT:Ax*|1S
(36:23:2:1)	min	P	STEM|POS:P|LEM:min
(36:23:3:1)	duwni	N	STEM|POS:N|LEM:duwn|ROOT:dwn|GEN
(36:23:3:2)	hi.^	PRON	SUFFIX|PRON:3MS
(36:23:4:1)	'aAlihapF	N	STEM|POS:N|LEM:<ila`h|ROOT:Alh|MP|INDEF|ACC
(36:23:5:1)	<in	COND	STEM|POS:COND|LEM:<in
(36:23:6:1)	yurido	V	STEM|POS:V|IMPF|(IV)|LEM:>araAda|ROOT:rwd|3MS|MOOD:JUS
(36:23:6:2)	ni	PRON	SUFFIX|PRON:1S
(36:23:7:1)	{l	DET	PREFIX|Al+
(36:23:7:2)	r~aHoma`nu	N	STEM|POS:N|LEM:r~aHoma`n|ROOT:rHm|MS|NOM
(36:23:8:1)	bi	P	PREFIX|bi+
(36:23:8:2)	Dur~K	N	STEM|POS:N|LEM:Dur~|ROOT:Drr|M|INDEF|GEN
(36:23:9:1)	l~aA	NEG	STEM|POS:NEG|LEM:laA
(36:23:10:1)	tugoni	V	STEM|POS:V|IMPF|(IV)|LEM:>agonato|ROOT:gny|3FS|MOOD:JUS
(36:23:11:1)	Ean~i	P	STEM|POS:P|LEM:Ean
(36:23:11:2)	Y	PRON	SUFFIX|PRON:1S
(36:23:12:1)	$afa`Eatu	N	STEM|POS:N|LEM:$afa`Eap|ROOT:$fE|F|NOM
(36:23:12:2)	humo	PRON	SUFFIX|PRON:3MP
(36:23:13:1)	$ayo_#FA	N	STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|ACC
(36:23:14:1)	wa	CONJ	PREFIX|w:CONJ+
(36:23:14:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:23:15:1)	yunqi*u	V	STEM|POS:V|IMPF|(IV)|LEM:>anqa*a|ROOT:nq*|3MP|MOOD:JUS
(36:23:15:2)	w	PRON	SUFFIX|PRON:3MP
(36:23:15:3)	ni	PRON	SUFFIX|PRON:1S
(36:24:1:1)	<in~i	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:24:1:2)	Y^	PRON	SUFFIX|PRON:1S
(36:24:2:1)	<i*FA	ANS	STEM|POS:ANS|LEM:<i*FA
(36:24:3:1)	l~a	EMPH	PREFIX|l:EMPH+
(36:24:3:2)	fiY	P	STEM|POS:P|LEM:fiY
(36:24:4:1)	Dala`lK	N	STEM|POS:N|LEM:Dala`l|ROOT:Dll|M|INDEF|GEN
(36:24:5:1)	m~ubiynK	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|GEN
(36:25:1:1)	<in~i	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:25:1:2)	Y^	PRON	SUFFIX|PRON:1S
(36:25:2:1)	'aAman	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|1S
(36:25:2:2)	tu	PRON	SUFFIX|PRON:1S
(36:25:3:1)	bi	P	PREFIX|bi+
(36:25:3:2)	rab~i	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN
(36:25:3:3)	kumo	PRON	SUFFIX|PRON:2MP
(36:25:4:1)	fa	REM	PREFIX|f:REM+
(36:25:4:2)	{somaEu	V	STEM|POS:V|IMPV|LEM:samiEa|ROOT:smE|2MP
(36:25:4:3)	w	PRON	SUFFIX|PRON:2MP
(36:25:4:4)	ni	PRON	SUFFIX|PRON:1S
(36:26:1:1)	qiyla	V	STEM|POS:V|PERF|PASS|LEM:qaAla|ROOT:qwl|3MS
(36:26:2:1)	{doxuli	V	STEM|POS:V|IMPV|LEM:daxala|ROOT:dxl|2MS
(36:26:3:1)	{lo	DET	PREFIX|Al+
(36:26:3:2)	jan~apa	PN	STEM|POS:PN|LEM:jan~ap|ROOT:jnn|F|ACC
(36:26:4:1)	qaAla	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS
(36:26:5:1)	ya`	VOC	PREFIX|ya+
(36:26:5:2)	layota	ACC	STEM|POS:ACC|LEM:layot|SP:<in~
(36:26:6:1)	qawomi	N	STEM|POS:N|LEM:qawom|ROOT:qwm|M|NOM
(36:26:6:2)	Y	PRON	SUFFIX|PRON:1S
(36:26:7:1)	yaEolamu	V	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MP
(36:26:7:2)	wna	PRON	SUFFIX|PRON:3MP
(36:27:1:1)	bi	P	PREFIX|bi+
(36:27:1:2)	maA	REL	STEM|POS:REL|LEM:maA
(36:27:2:1)	gafara	V	STEM|POS:V|PERF|LEM:gafara|ROOT:gfr|3MS
(36:27:3:1)	li	P	PREFIX|l:P+
(36:27:3:2)	Y	PRON	STEM|POS:PRON|1S
(36:27:4:1)	rab~i	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|NOM
(36:27:4:2)	Y	PRON	SUFFIX|PRON:1S
(36:27:5:1)	wa	CONJ	PREFIX|w:CONJ+
(36:27:5:2)	jaEala	V	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|3MS
(36:27:5:3)	niY	PRON	SUFFIX|PRON:1S
(36:27:6:1)	mina	P	STEM|POS:P|LEM:min
(36:27:7:1)	{lo	DET	PREFIX|Al+
(36:27:7:2)	mukoramiyna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~ukoramuwn|ROOT:krm|MP|GEN
(36:28:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:28:1:2)	maA^	NEG	STEM|POS:NEG|LEM:maA
(36:28:2:1)	>anzalo	V	STEM|POS:V|PERF|(IV)|LEM:>anzala|ROOT:nzl|1P
(36:28:2:2)	naA	PRON	SUFFIX|PRON:1P
(36:28:3:1)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(36:28:4:1)	qawomi	N	STEM|POS:N|LEM:qawom|ROOT:qwm|M|GEN
(36:28:4:2)	hi.	PRON	SUFFIX|PRON:3MS
(36:28:5:1)	min[	P	STEM|POS:P|LEM:min
(36:28:6:1)	baEodi	N	STEM|POS:N|LEM:baEod|ROOT:bEd|GEN
(36:28:6:2)	hi.	PRON	SUFFIX|PRON:3MS
(36:28:7:1)	min	P	STEM|POS:P|LEM:min
(36:28:8:1)	jundK	N	STEM|POS:N|LEM:jund|ROOT:jnd|M|INDEF|GEN
(36:28:9:1)	m~ina	P	STEM|POS:P|LEM:min
(36:28:10:1)	{l	DET	PREFIX|Al+
(36:28:10:2)	s~amaA^'i	N	STEM|POS:N|LEM:samaA^'|ROOT:smw|F|GEN
(36:28:11:1)	wa	CONJ	PREFIX|w:CONJ+
(36:28:11:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(36:28:12:1)	ku	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|1P
(36:28:12:2)	n~aA	PRON	SUFFIX|PRON:1P
(36:28:13:1)	munziliyna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:munziliyn|ROOT:nzl|MP|ACC
(36:29:1:1)	<in	NEG	STEM|POS:NEG|LEM:<in
(36:29:2:1)	kaAnato	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3FS
(36:29:3:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(36:29:4:1)	SayoHapF	N	STEM|POS:N|LEM:SayoHap|ROOT:SyH|F|INDEF|ACC
(36:29:5:1)	wa`HidapF	N	STEM|POS:N|LEM:wa`Hidap|ROOT:wHd|F|INDEF|ACC
(36:29:6:1)	fa	REM	PREFIX|f:REM+
(36:29:6:2)	<i*aA	SUR	STEM|POS:SUR|LEM:<i*aA2
(36:29:7:1)	humo	PRON	STEM|POS:PRON|3MP
(36:29:8:1)	xa`miduwna	N	STEM|POS:N|ACT|PCPL|LEM:xa`midiyn|ROOT:xmd|MP|NOM
(36:30:1:1)	ya`	VOC	PREFIX|ya+
(36:30:1:2)	HasorapF	N	STEM|POS:N|LEM:Hasorap|ROOT:Hsr|F|INDEF|ACC
(36:30:2:1)	EalaY	P	STEM|POS:P|LEM:EalaY`
(36:30:3:1)	{lo	DET	PREFIX|Al+
(36:30:3:2)	EibaAdi	N	STEM|POS:N|LEM:Eabod|ROOT:Ebd|MP|GEN
(36:30:4:1)	maA	NEG	STEM|POS:NEG|LEM:maA
(36:30:5:1)	ya>otiy	V	STEM|POS:V|IMPF|LEM:>ataY|ROOT:Aty|3MS
(36:30:5:2)	him	PRON	SUFFIX|PRON:3MP
(36:30:6:1)	m~in	P	STEM|POS:P|LEM:min
(36:30:7:1)	r~asuwlK	N	STEM|POS:N|LEM:rasuwl|ROOT:rsl|M|INDEF|GEN
(36:30:8:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(36:30:9:1)	kaAnu	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP
(36:30:9:2)	wA@	PRON	SUFFIX|PRON:3MP
(36:30:10:1)	bi	P	PREFIX|bi+
(36:30:10:2)	hi.	PRON	STEM|POS:PRON|3MS
(36:30:11:1)	yasotahozi'u	V	STEM|POS:V|IMPF|(X)|LEM:{sotuhozi}a|ROOT:hzA|3MP
(36:30:11:2)	wna	PRON	SUFFIX|PRON:3MP
(36:31:1:1)	>a	INTG	PREFIX|A:INTG+
(36:31:1:2)	lamo	NEG	STEM|POS:NEG|LEM:lam
(36:31:2:1)	yara	V	STEM|POS:V|IMPF|LEM:ra'aA|ROOT:rAy|3MP|MOOD:JUS
(36:31:2:2)	woA@	PRON	SUFFIX|PRON:3MP
(36:31:3:1)	kamo	INTG	STEM|POS:INTG|LEM:kam
(36:31:4:1)	>aholako	V	STEM|POS:V|PERF|(IV)|LEM:>aholaka|ROOT:hlk|1P
(36:31:4:2)	naA	PRON	SUFFIX|PRON:1P
(36:31:5:1)	qabola	T	STEM|POS:T|LEM:qabol|ROOT:qbl|ACC
(36:31:5:2)	hum	PRON	SUFFIX|PRON:3MP
(36:31:6:1)	m~ina	P	STEM|POS:P|LEM:min
(36:31:7:1)	{lo	DET	PREFIX|Al+
(36:31:7:2)	quruwni	N	STEM|POS:N|LEM:qaron|ROOT:qrn|MP|GEN
(36:31:8:1)	>an~a	ACC	STEM|POS:ACC|LEM:>an~|SP:<in~
(36:31:8:2)	humo	PRON	SUFFIX|PRON:3MP
(36:31:9:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(36:31:9:2)	himo	PRON	SUFFIX|PRON:3MP
(36:31:10:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:31:11:1)	yarojiEu	V	STEM|POS:V|IMPF|LEM:rajaEa|ROOT:rjE|3MP
(36:31:11:2)	wna	PRON	SUFFIX|PRON:3MP
(36:32:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:32:1:2)	<in	COND	STEM|POS:COND|LEM:<in
(36:32:2:1)	kul~N	N	STEM|POS:N|LEM:kul~|ROOT:kll|M|INDEF|NOM
(36:32:3:1)	l~am~aA	T	STEM|POS:T|LEM:lam~aA
(36:32:4:1)	jamiyEN	N	STEM|POS:N|LEM:jamiyE|ROOT:jmE|M|INDEF|NOM
(36:32:5:1)	l~adayo	LOC	STEM|POS:LOC|LEM:laday
(36:32:5:2)	naA	PRON	SUFFIX|PRON:1P
(36:32:6:1)	muHoDaruwna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~uHoDar|ROOT:HDr|MP|NOM
(36:33:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:33:1:2)	'aAyapN	N	STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FS|INDEF|NOM
(36:33:2:1)	l~a	P	PREFIX|l:P+
(36:33:2:2)	humu	PRON	STEM|POS:PRON|3MP
(36:33:3:1)	{lo	DET	PREFIX|Al+
(36:33:3:2)	>aroDu	N	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|NOM
(36:33:4:1)	{lo	DET	PREFIX|Al+
(36:33:4:2)	mayotapu	ADJ	STEM|POS:ADJ|LEM:mayotap|ROOT:mwt|FS|NOM
(36:33:5:1)	>aHoyayo	V	STEM|POS:V|PERF|(IV)|LEM:>aHoyaA|ROOT:Hyy|1P
(36:33:5:2)	na`	PRON	SUFFIX|PRON:1P
(36:33:5:3)	haA	PRON	SUFFIX|PRON:3FS
(36:33:6:1)	wa	CONJ	PREFIX|w:CONJ+
(36:33:6:2)	>axorajo	V	STEM|POS:V|PERF|(IV)|LEM:>axoraja|ROOT:xrj|1P
(36:33:6:3)	naA	PRON	SUFFIX|PRON:1P
(36:33:7:1)	mino	P	STEM|POS:P|LEM:min
(36:33:7:2)	haA	PRON	SUFFIX|PRON:3FS
(36:33:8:1)	Hab~FA	N	STEM|POS:N|LEM:Hab~|ROOT:Hbb|M|INDEF|ACC
(36:33:9:1)	fa	CONJ	PREFIX|f:CONJ+
(36:33:9:2)	mino	P	STEM|POS:P|LEM:min
(36:33:9:3)	hu	PRON	SUFFIX|PRON:3MS
(36:33:10:1)	ya>okulu	V	STEM|POS:V|IMPF|LEM:>akala|ROOT:Akl|3MP
(36:33:10:2)	wna	PRON	SUFFIX|PRON:3MP
(36:34:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:34:1:2)	jaEalo	V	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|1P
(36:34:1:3)	naA	PRON	SUFFIX|PRON:1P
(36:34:2:1)	fiy	P	STEM|POS:P|LEM:fiY
(36:34:2:2)	haA	PRON	SUFFIX|PRON:3FS
(36:34:3:1)	jan~a`tK	N	STEM|POS:N|LEM:jan~ap|ROOT:jnn|FP|INDEF|GEN
(36:34:4:1)	m~in	P	STEM|POS:P|LEM:min
(36:34:5:1)	n~axiylK	N	STEM|POS:N|LEM:n~axiyl|ROOT:nxl|MP|INDEF|GEN
(36:34:6:1)	wa	CONJ	PREFIX|w:CONJ+
(36:34:6:2)	>aEona`bK	N	STEM|POS:N|LEM:Einab|ROOT:Enb|MP|INDEF|GEN
(36:34:7:1)	wa	CONJ	PREFIX|w:CONJ+
(36:34:7:2)	faj~aro	V	STEM|POS:V|PERF|(II)|LEM:fuj~irato|ROOT:fjr|1P
(36:34:7:3)	naA	PRON	SUFFIX|PRON:1P
(36:34:8:1)	fiy	P	STEM|POS:P|LEM:fiY
(36:34:8:2)	haA	PRON	SUFFIX|PRON:3FS
(36:34:9:1)	mina	P	STEM|POS:P|LEM:min
(36:34:10:1)	{lo	DET	PREFIX|Al+
(36:34:10:2)	Euyuwni	N	STEM|POS:N|LEM:Eayon|ROOT:Eyn|FP|GEN
(36:35:1:1)	li	PRP	PREFIX|l:PRP+
(36:35:1:2)	ya>okulu	V	STEM|POS:V|IMPF|LEM:>akala|ROOT:Akl|3MP|MOOD:SUBJ
(36:35:1:3)	wA@	PRON	SUFFIX|PRON:3MP
(36:35:2:1)	min	P	STEM|POS:P|LEM:min
(36:35:3:1)	vamari	N	STEM|POS:N|LEM:vamar|ROOT:vmr|M|GEN
(36:35:3:2)	hi.	PRON	SUFFIX|PRON:3MS
(36:35:4:1)	wa	CONJ	PREFIX|w:CONJ+
(36:35:4:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(36:35:5:1)	Eamilato	V	STEM|POS:V|PERF|LEM:Eamila|ROOT:Eml|3FS
(36:35:5:2)	hu	PRON	SUFFIX|PRON:3MS
(36:35:6:1)	>ayodiy	N	STEM|POS:N|LEM:yad|ROOT:ydy|FP|NOM
(36:35:6:2)	himo	PRON	SUFFIX|PRON:3MP
(36:35:7:1)	>a	INTG	PREFIX|A:INTG+
(36:35:7:2)	fa	SUP	PREFIX|f:SUP+
(36:35:7:3)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:35:8:1)	ya$okuru	V	STEM|POS:V|IMPF|LEM:$akara|ROOT:$kr|3MP
(36:35:8:2)	wna	PRON	SUFFIX|PRON:3MP
(36:36:1:1)	suboHa`na	N	STEM|POS:N|LEM:suboHa`n|ROOT:sbH|M|ACC
(36:36:2:1)	{l~a*iY	REL	STEM|POS:REL|LEM:{l~a*iY|MS
(36:36:3:1)	xalaqa	V	STEM|POS:V|PERF|LEM:xalaqa|ROOT:xlq|3MS
(36:36:4:1)	{lo	DET	PREFIX|Al+
(36:36:4:2)	>azowa`ja	N	STEM|POS:N|LEM:zawoj|ROOT:zwj|MP|ACC
(36:36:5:1)	kul~a	N	STEM|POS:N|LEM:kul~|ROOT:kll|M|ACC
(36:36:5:2)	haA	PRON	SUFFIX|PRON:3FS
(36:36:6:1)	mi	P	STEM|POS:P|LEM:min
(36:36:6:2)	m~aA	REL	STEM|POS:REL|LEM:maA
(36:36:7:1)	tun[bitu	V	STEM|POS:V|IMPF|(IV)|LEM:>an[bata|ROOT:nbt|3FS
(36:36:8:1)	{lo	DET	PREFIX|Al+
(36:36:8:2)	>aroDu	N	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|NOM
(36:36:9:1)	wa	CONJ	PREFIX|w:CONJ+
(36:36:9:2)	mino	P	STEM|POS:P|LEM:min
(36:36:10:1)	>anfusi	N	STEM|POS:N|LEM:nafos|ROOT:nfs|FP|GEN
(36:36:10:2)	himo	PRON	SUFFIX|PRON:3MP
(36:36:11:1)	wa	CONJ	PREFIX|w:CONJ+
(36:36:11:2)	mi	P	STEM|POS:P|LEM:min
(36:36:11:3)	m~aA	REL	STEM|POS:REL|LEM:maA
(36:36:12:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:36:13:1)	yaEolamu	V	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MP
(36:36:13:2)	wna	PRON	SUFFIX|PRON:3MP
(36:37:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:37:1:2)	'aAyapN	N	STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FS|INDEF|NOM
(36:37:2:1)	l~a	P	PREFIX|l:P+
(36:37:2:2)	humu	PRON	STEM|POS:PRON|3MP
(36:37:3:1)	{l~a	DET	PREFIX|Al+
(36:37:3:2)	yolu	N	STEM|POS:N|LEM:layol|ROOT:lyl|M|NOM
(36:37:4:1)	nasolaxu	V	STEM|POS:V|IMPF|LEM:nasolaxu|ROOT:slx|1P
(36:37:5:1)	mino	P	STEM|POS:P|LEM:min
(36:37:5:2)	hu	PRON	SUFFIX|PRON:3MS
(36:37:6:1)	{l	DET	PREFIX|Al+
(36:37:6:2)	n~ahaAra	N	STEM|POS:N|LEM:nahaAr|ROOT:nhr|M|ACC
(36:37:7:1)	fa	REM	PREFIX|f:REM+
(36:37:7:2)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(36:37:8:1)	hum	PRON	STEM|POS:PRON|3MP
(36:37:9:1)	m~uZolimuwna	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:muZolim|ROOT:Zlm|MP|NOM
(36:38:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:38:1:2)	{l	DET	PREFIX|Al+
(36:38:1:3)	$~amosu	N	STEM|POS:N|LEM:$amos|ROOT:$ms|F|NOM
(36:38:2:1)	tajoriY	V	STEM|POS:V|IMPF|LEM:jarayo|ROOT:jry|3FS
(36:38:3:1)	li	P	PREFIX|l:P+
(36:38:3:2)	musotaqar~K	N	STEM|POS:N|PASS|PCPL|(X)|LEM:musotaqar~|ROOT:qrr|M|INDEF|GEN
(36:38:4:1)	l~a	P	PREFIX|l:P+
(36:38:4:2)	haA	PRON	STEM|POS:PRON|3FS
(36:38:5:1)	*a`lika	DEM	STEM|POS:DEM|LEM:*a`lik|MS
(36:38:6:1)	taqodiyru	N	STEM|POS:N|VN|(II)|LEM:taqodiyr|ROOT:qdr|M|NOM
(36:38:7:1)	{lo	DET	PREFIX|Al+
(36:38:7:2)	Eaziyzi	ADJ	STEM|POS:ADJ|LEM:Eaziyz|ROOT:Ezz|MS|GEN
(36:38:8:1)	{lo	DET	PREFIX|Al+
(36:38:8:2)	Ealiymi	ADJ	STEM|POS:ADJ|LEM:Ealiym|ROOT:Elm|MS|GEN
(36:39:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:39:1:2)	{lo	DET	PREFIX|Al+
(36:39:1:3)	qamara	N	STEM|POS:N|LEM:qamar|ROOT:qmr|M|ACC
(36:39:2:1)	qad~aro	V	STEM|POS:V|PERF|(II)|LEM:qad~ara|ROOT:qdr|1P
(36:39:2:2)	na`	PRON	SUFFIX|PRON:1P
(36:39:2:3)	hu	PRON	SUFFIX|PRON:3MS
(36:39:3:1)	manaAzila	N	STEM|POS:N|LEM:manaAzil|ROOT:nzl|MP|ACC
(36:39:4:1)	Hat~aY`	P	STEM|POS:P|LEM:Hat~aY`
(36:39:5:1)	EaAda	V	STEM|POS:V|PERF|LEM:EaAda|ROOT:Ewd|3MS
(36:39:6:1)	ka	P	PREFIX|ka+
(36:39:6:2)	{lo	DET	PREFIX|Al+
(36:39:6:3)	Eurojuwni	N	STEM|POS:N|LEM:Eurojuwn|ROOT:Erjn|M|GEN
(36:39:7:1)	{lo	DET	PREFIX|Al+
(36:39:7:2)	qadiymi	ADJ	STEM|POS:ADJ|LEM:qadiym|ROOT:qdm|MS|GEN
(36:40:1:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:40:2:1)	{l	DET	PREFIX|Al+
(36:40:2:2)	$~amosu	N	STEM|POS:N|LEM:$amos|ROOT:$ms|F|NOM
(36:40:3:1)	yan[bagiY	V	STEM|POS:V|IMPF|(VII)|LEM:yan[bagiY|ROOT:bgy|3MS
(36:40:4:1)	la	P	PREFIX|l:P+
(36:40:4:2)	haA^	PRON	STEM|POS:PRON|3FS
(36:40:5:1)	>an	SUB	STEM|POS:SUB|LEM:>an
(36:40:6:1)	tudorika	V	STEM|POS:V|IMPF|(IV)|LEM:>adoraka|ROOT:drk|3FS|MOOD:SUBJ
(36:40:7:1)	{lo	DET	PREFIX|Al+
(36:40:7:2)	qamara	N	STEM|POS:N|LEM:qamar|ROOT:qmr|M|ACC
(36:40:8:1)	wa	CONJ	PREFIX|w:CONJ+
(36:40:8:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:40:9:1)	{l~a	DET	PREFIX|Al+
(36:40:9:2)	yolu	N	STEM|POS:N|LEM:layol|ROOT:lyl|M|NOM
(36:40:10:1)	saAbiqu	N	STEM|POS:N|ACT|PCPL|LEM:saAbiq|ROOT:sbq|M|NOM
(36:40:11:1)	{l	DET	PREFIX|Al+
(36:40:11:2)	n~ahaAri	N	STEM|POS:N|LEM:nahaAr|ROOT:nhr|M|GEN
(36:40:12:1)	wa	CONJ	PREFIX|w:CONJ+
(36:40:12:2)	kul~N	N	STEM|POS:N|LEM:kul~|ROOT:kll|M|INDEF|NOM
(36:40:13:1)	fiY	P	STEM|POS:P|LEM:fiY
(36:40:14:1)	falakK	N	STEM|POS:N|LEM:falak|ROOT:flk|M|INDEF|GEN
(36:40:15:1)	yasobaHu	V	STEM|POS:V|IMPF|LEM:yasobaHu|ROOT:sbH|3MP
(36:40:15:2)	wna	PRON	SUFFIX|PRON:3MP
(36:41:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:41:1:2)	'aAyapN	N	STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FS|INDEF|NOM
(36:41:2:1)	l~a	P	PREFIX|l:P+
(36:41:2:2)	humo	PRON	STEM|POS:PRON|3MP
(36:41:3:1)	>an~a	ACC	STEM|POS:ACC|LEM:>an~|SP:<in~
(36:41:3:2)	A	PRON	SUFFIX|PRON:1P
(36:41:4:1)	Hamalo	V	STEM|POS:V|PERF|LEM:Hamala|ROOT:Hml|1P
(36:41:4:2)	naA	PRON	SUFFIX|PRON:1P
(36:41:5:1)	*ur~iy~ata	N	STEM|POS:N|LEM:*ur~iy~ap|ROOT:*rr|F|ACC
(36:41:5:2)	humo	PRON	SUFFIX|PRON:3MP
(36:41:6:1)	fiY	P	STEM|POS:P|LEM:fiY
(36:41:7:1)	{lo	DET	PREFIX|Al+
(36:41:7:2)	fuloki	N	STEM|POS:N|LEM:fulok|ROOT:flk|M|GEN
(36:41:8:1)	{lo	DET	PREFIX|Al+
(36:41:8:2)	ma$oHuwni	N	STEM|POS:N|PASS|PCPL|LEM:ma$oHuwn|ROOT:$Hn|M|GEN
(36:42:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:42:1:2)	xalaqo	V	STEM|POS:V|PERF|LEM:xalaqa|ROOT:xlq|1P
(36:42:1:3)	naA	PRON	SUFFIX|PRON:1P
(36:42:2:1)	la	P	PREFIX|l:P+
(36:42:2:2)	hum	PRON	STEM|POS:PRON|3MP
(36:42:3:1)	m~in	P	STEM|POS:P|LEM:min
(36:42:4:1)	m~ivoli	N	STEM|POS:N|LEM:mivol|ROOT:mvl|M|GEN
(36:42:4:2)	hi.	PRON	SUFFIX|PRON:3MS
(36:42:5:1)	maA	REL	STEM|POS:REL|LEM:maA
(36:42:6:1)	yarokabu	V	STEM|POS:V|IMPF|LEM:rakiba|ROOT:rkb|3MP
(36:42:6:2)	wna	PRON	SUFFIX|PRON:3MP
(36:43:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:43:1:2)	<in	COND	STEM|POS:COND|LEM:<in
(36:43:2:1)	n~a$a>o	V	STEM|POS:V|IMPF|LEM:$aA^'a|ROOT:$yA|1P|MOOD:JUS
(36:43:3:1)	nugoriqo	V	STEM|POS:V|IMPF|(IV)|LEM:>ugoriqu|ROOT:grq|1P|MOOD:JUS
(36:43:3:2)	humo	PRON	SUFFIX|PRON:3MP
(36:43:4:1)	fa	REM	PREFIX|f:REM+
(36:43:4:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:43:5:1)	Sariyxa	N	STEM|POS:N|LEM:Sariyx|ROOT:Srx|M|ACC
